BUFFERTEXT,,,,,,,,,,,,,DOESN'T NEED TO BE TRANSLATED
config_content_type_name_copis_things_action,"Spells",,,,,,,,,,,,
config_content_type_name_copis_things_perk,"Perks",,,,,,,,,,,,
config_content_type_name_copis_things_misc,"Misc",,,,,,,,,,,,
config_content_type_name_copis_things_tweak,"Tweaks",,,,,,,,,,,,
config_content_type_name_copis_things_champion_type,"Champions",,,,,,,,,,,,
config_content_type_name_copis_things_item,"Items",,,,,,,,,,,,
config_content_type_name_copis_things_loadout,"Loadouts",,,,,,,,,,,,
config_content_type_name_copis_things_starting_perk,"Starting Perks",,,,,,,,,,,,
config_content_type_name_copis_things_legendary_wand,"Unique Wands",,,,,,,,,,,,
config_content_type_name_copis_things_event,"Events",,,,,,,,,,,,
config_content_type_name_copis_things_game_modifier,"Game Modifiers",,,,,,,,,,,,
config_content_type_name_copis_things_dev_option,"Cheats",,,,,,,,,,,,
config_content_type_name_copis_things_pack,"Packs",,,,,,,,,,,,
option_tab_name_copis_things_start_page,"Start",,,,,,,,,,,,
option_tab_name_copis_things_options,"Options",,,,,,,,,,,,
option_tab_name_action,"Spells",,,,,,,,,,,,
option_tab_name_perk,"Perks",,,,,,,,,,,,
option_tab_name_misc,"Misc",,,,,,,,,,,,
option_tab_name_tweak,"Tweaks",,,,,,,,,,,,
option_tab_name_champion_type,"Champions",,,,,,,,,,,,
option_tab_name_item,"Items",,,,,,,,,,,,
option_tab_name_loadout,"Loadouts",,,,,,,,,,,,
option_tab_name_starting_perk,"Starting Perks",,,,,,,,,,,,
option_tab_name_legendary_wand,"Unique Wands",,,,,,,,,,,,
option_tab_name_event,"Events",,,,,,,,,,,,
option_tab_name_game_modifier,"Game Modifiers",,,,,,,,,,,,
option_tab_name_dev_option,"Cheats",,,,,,,,,,,,
option_tab_name_pack,"Packs",,,,,,,,,,,,
dev_option_name_copis_things_infinite_mana,"Infinite Mana",,,,,,,,,,,,
dev_option_desc_copis_things_infinite_mana,"Your wands recover mana quickly",,,,,,,,,,,,
dev_option_name_copis_things_infinite_spells,"Infinite Spells",,,,,,,,,,,,
dev_option_desc_copis_things_infinite_spells,"You can freely cast limited use spells",,,,,,,,,,,,
dev_option_name_copis_things_recover_health,"Recover Health",,,,,,,,,,,,
dev_option_desc_copis_things_recover_health,"You recover lost health over time",,,,,,,,,,,,
dev_option_name_copis_things_invincibility,"Invincibility",,,,,,,,,,,,
dev_option_desc_copis_things_invincibility,"You can no longer take damage",,,,,,,,,,,,
dev_option_name_copis_things_no_polymorph,"Polymorph Immunity",,,,,,,,,,,,
dev_option_desc_copis_things_no_polymorph,"You can no longer be polymorphed",,,,,,,,,,,,
dev_option_name_copis_things_cheap_rerolls,"Cheap Rerolls",,,,,,,,,,,,
dev_option_desc_copis_things_cheap_rerolls,"Perk rerolling remains at a fixed price",,,,,,,,,,,,
dev_option_name_copis_things_infinite_money,"Infinite Money",,,,,,,,,,,,
dev_option_desc_copis_things_infinite_money,"You can spend freely",,,,,,,,,,,,
dev_option_name_copis_things_infinite_flight,"Infinite Levitation",,,,,,,,,,,,
dev_option_desc_copis_things_infinite_flight,"You can levitate freely",,,,,,,,,,,,
option_name_copis_things_no_damage_flashing,"No Damage Flashing",,,,,,,,,,,,
option_desc_copis_things_no_damage_flashing,"Remove the red borders when taking damage",,,,,,,,,,,,
option_name_copis_things_no_low_health_warning,"No Low Health Warning",,,,,,,,,,,,
option_desc_copis_things_no_low_health_warning,"Remove the red flashing when low on health",,,,,,,,,,,,
option_group_name_copis_things_seeded_runs,"Seeded Runs",,,,,,,,,,,,
option_name_copis_things_spell_sort_method,"Spell Sort Method",,,,,,,,,,,,
option_desc_copis_things_spell_sort_method,"What method to use when sorting spells",,,,,,,,,,,,
option_name_copis_things_show_spell_descriptions,"Show Spell Descriptions",,,,,,,,,,,,
option_desc_copis_things_show_spell_descriptions,"Show spell descriptions before picking them up",,,,,,,,,,,,
option_name_copis_things_show_spell_progress,"Show Spell Progress",,,,,,,,,,,,
option_desc_copis_things_show_spell_progress,"Highlight spells that need to be fired",,,,,,,,,,,,
option_name_copis_things_show_spell_borders,"Show Spell Types",,,,,,,,,,,,
option_desc_copis_things_show_spell_borders,"Draw the coloured borders around spells",,,,,,,,,,,,
option_name_copis_things_seeded_runs_use_seed_next_run,"Use seed on next run",,,,,,,,,,,,
option_desc_copis_things_seeded_runs_use_seed_next_run,"Use the entered seed for the next run",,,,,,,,,,,,
option_name_copis_things_seeded_runs_seed,"Seed",,,,,,,,,,,,
option_desc_copis_things_seeded_runs_seed,"The seed to use for the next run",,,,,,,,,,,,
option_name_copis_things_seeded_runs_copy_seed,"Copy Seed",,,,,,,,,,,,
option_desc_copis_things_seeded_runs_copy_seed,"Copy the current world seed",,,,,,,,,,,,
option_group_name_copis_things_perk_options,"Perks",,,,,,,,,,,,
option_name_copis_things_new_perk_stackables,"Stackable Perks Adjustment",,,,,,,,,,,,
