perk_name_copis_things_adrenaline,"Adrenaline",,,,,,,,,,,,
perk_desc_copis_things_adrenaline,"As your health gets lower your performance increases",,,,,,,,,,,,
perk_name_copis_things_alchemic_aura,"Alchemical Aura",,,,,,,,,,,,
perk_desc_copis_things_alchemic_aura,"You gain an aura of magical transmutation that affects 3 random materials",,,,,,,,,,,,
perk_name_copis_things_anemic,"Anemia",,,,,,,,,,,,
perk_desc_copis_things_anemic,"You feel light headed.",,,,,,,,,,,,
perk_name_copis_things_black_market,"Black Market",,,,,,,,,,,,
perk_desc_copis_things_black_market,"Holy mountains will have a guaranteed extra perk, but at a cost...",,,,,,,,,,,,
perk_name_copis_things_demolitionist,"Demolitionist",,,,,,,,,,,,
perk_desc_copis_things_demolitionist,"Your projectiles cause larger, more destructive explosions.",,,,,,,,,,,,
perk_name_copis_things_diplomatic_immunity,"Diplomatic Immunity",,,,,,,,,,,,
perk_desc_copis_things_diplomatic_immunity,"You may come and go as you please from the Holy Mountain.",,,,,,,,,,,,
perk_name_copis_things_gleaning_eye,"Gold Rush",,,,,,,,,,,,
perk_desc_copis_things_gleaning_eye,"Killing enemies rapidly builds a killstreak which awards more gold.",,,,,,,,,,,,
perk_name_copis_things_fragile_ego,"Fragile Ego",,,,,,,,,,,,
perk_desc_copis_things_fragile_ego,"Receive significantly less damage, but damage is permanent.",,,,,,,,,,,,
perk_name_copis_things_golden_blood,"Aurum Veins",,,,,,,,,,,,
perk_desc_copis_things_golden_blood,"You bleed gold.",,,,,,,,,,,,
perk_name_copis_things_healthier_hearts,"Healthier Hearts",,,,,,,,,,,,
perk_desc_copis_things_healthier_hearts,"You heal for the amount gained when gaining maximum health.",,,,,,,,,,,,
perk_name_copis_things_invincibility_frames,"Invincibility Frames",,,,,,,,,,,,
perk_desc_copis_things_invincibility_frames,"You become immune to enemy damage for a short time after taking enemy damage.",,,,,,,,,,,,
perk_name_copis_things_hallowed_step,"Hallowed Step",,,,,,,,,,,,
perk_desc_copis_things_hallowed_step,"You purify the earth around you",,,,,,,,,,,,
perk_name_copis_things_hyperbuff,"Titan Strength",,,,,,,,,,,,
perk_desc_copis_things_hyperbuff,"You deal significantly more damage, but the ground tremors at your might",,,,,,,,,,,,
perk_name_copis_things_lead_boots,"Lead Boots",,,,,,,,,,,,
perk_desc_copis_things_lead_boots,"You experience no recoil as long as you are grounded.",,,,,,,,,,,,
perk_name_copis_things_low_gravity,"Low Gravity",,,,,,,,,,,,
perk_desc_copis_things_low_gravity,,,,,,,,,,,,,
perk_name_copis_things_mana_efficiency,"Mana Efficiency",,,,,,,,,,,,
